gene	SC1	SC2	SC3	SC4	SC5	SC6
ENSG00000109079	6994	11105	7141	10889	7253	5032
ENSG00000109083	416	526	399	555	410	318
ENSG00000109084	842	251	1070	376	368	124
ENSG00000109089	1142	3217	1472	5253	1815	1848
ENSG00000109099	183	222	108	45	56	40
ENSG00000109101	87	26	61	24	156	218
ENSG00000109103	936	1039	1141	1106	838	798
ENSG00000109107	1016	358	1526	805	615	648
ENSG00000109111	4990	8469	4916	5726	4693	4097
ENSG00000109113	1955	1744	2169	1763	1183	1297
ENSG00000109118	1135	1250	1194	1095	1011	1116
ENSG00000109132	0	0	0	2	0	0
ENSG00000109133	3288	4017	2417	2974	3148	2406
ENSG00000109158	0	0	0	0	0	1
ENSG00000109163	13	23	11	1	8	3
ENSG00000109171	3771	3925	3756	3205	4007	4403
ENSG00000109180	3208	4712	3076	3673	3658	2865
ENSG00000109181	0	0	0	0	0	0
ENSG00000109182	2719	2773	2027	1450	2990	1435
ENSG00000109184	821	1609	655	722	819	950
ENSG00000109189	941	1906	925	1290	1106	1053
ENSG00000109193	21	248	23	96	325	65
ENSG00000109205	0	2	0	0	0	0
ENSG00000109208	0	0	0	0	0	0
ENSG00000109220	770	929	811	829	715	594
ENSG00000109255	122	105	183	71	125	51
ENSG00000109265	3	30	7	5	8	12
ENSG00000109270	1291	2710	1057	1584	1715	1261
ENSG00000109272	1	1	0	0	0	0
ENSG00000109320	2349	1847	2294	1464	1689	1341
ENSG00000109321	47138	22521	37252	22559	41150	20122
ENSG00000109323	435	691	280	479	341	622
ENSG00000109332	10143	11636	11104	9456	9639	7028
ENSG00000109339	58	107	70	49	137	129
ENSG00000109381	759	581	698	449	591	701
ENSG00000109390	1151	1223	1251	1191	1208	846
ENSG00000109424	0	1	2	2	0	0
ENSG00000109436	1016	2334	755	1719	1500	2308
ENSG00000109445	1239	1081	1224	1071	1220	1166
ENSG00000109452	3632	5746	2431	2729	3536	2430
ENSG00000109458	1114	1190	971	722	1013	1539
ENSG00000109466	1145	1324	986	781	1064	956
ENSG00000109471	0	0	0	0	0	0
ENSG00000109472	209	570	108	1915	377	472
ENSG00000109475	8683	7506	9534	10223	10869	5019
ENSG00000109501	766	1142	813	1061	962	704
ENSG00000109511	0	20	2	22	1	5
ENSG00000109519	2421	2391	2355	2217	2240	1001
ENSG00000109534	1147	1021	1676	1089	1135	563
ENSG00000109536	591	644	736	660	496	408
ENSG00000109572	2284	3521	2145	2414	2671	2012
ENSG00000109576	60	128	82	21	35	8
ENSG00000109586	970	2059	720	928	1027	1116
ENSG00000109606	6582	7209	6569	4902	5121	4457
ENSG00000109610	16	154	23	237	73	77
ENSG00000109618	332	338	313	203	285	244
ENSG00000109625	0	0	0	1	0	0
ENSG00000109654	466	4446	554	2225	1230	1488
ENSG00000109667	881	1772	736	2225	1065	851
ENSG00000109670	1725	1348	1577	841	1427	1974
ENSG00000109674	279	50	291	16	90	11
ENSG00000109680	169	380	166	276	214	268
ENSG00000109684	1	1	1	0	0	0
ENSG00000109685	6245	1217	7364	962	2409	1059
ENSG00000109686	2954	4306	2654	3682	3516	3015
ENSG00000109689	547	659	455	604	541	705
ENSG00000109705	1	9	0	12	0	0
ENSG00000109736	4177	5090	3871	5940	4385	3502
ENSG00000109738	37	73	37	63	27	33
ENSG00000109743	28	87	30	32	27	31
ENSG00000109756	1140	1922	1116	1292	1381	1268
ENSG00000109758	0	2	2	5	6	16
ENSG00000109762	477	554	567	384	450	454
ENSG00000109771	35	26	31	27	38	22
ENSG00000109775	499	643	532	456	519	296
ENSG00000109787	5622	3268	4624	2460	5816	4497
ENSG00000109790	1613	2101	1386	1272	1014	1265
ENSG00000109794	13	21	17	13	17	7
ENSG00000109805	1661	218	1607	62	379	27
ENSG00000109814	1546	1859	1722	1503	1184	1012
ENSG00000109819	1	89	0	72	3	24
ENSG00000109832	2	0	0	0	0	0
ENSG00000109846	950	7113	1645	9427	4085	19502
ENSG00000109851	0	0	0	0	0	0
ENSG00000109854	2291	4100	2623	4645	3491	2293
ENSG00000109861	15233	11551	12521	8224	8814	4311
ENSG00000109881	206	178	303	149	159	147
ENSG00000109906	64	47	127	273	276	450
ENSG00000109911	470	525	424	437	373	293
ENSG00000109917	2949	2667	2946	2827	3156	1454
ENSG00000109919	4169	5076	4774	4811	4713	2879
ENSG00000109920	1508	1686	1543	1256	1418	1454
ENSG00000109927	19	35	4	13	15	41
ENSG00000109929	2739	4370	2517	2573	2666	3047
ENSG00000109943	3	15	2	5	3	2
ENSG00000109944	325	360	300	283	399	346
ENSG00000109956	5	1	5	2	3	51
ENSG00000109971	22026	52101	30333	44245	26492	11937
ENSG00000109991	3	0	0	0	0	0
ENSG00000110002	2465	2723	2829	2297	3627	2786
ENSG00000110011	383	433	528	591	556	533
ENSG00000110013	926	1046	848	979	1171	1053
ENSG00000110025	30	8	21	14	18	21
ENSG00000110031	773	2397	618	2293	458	951
ENSG00000110042	673	1359	815	1927	590	937
ENSG00000110046	2331	2170	2669	2524	2486	1580
ENSG00000110047	4307	6380	5087	4695	5044	2399
ENSG00000110048	4480	5517	4468	4324	4678	4404
ENSG00000110057	314	600	382	563	330	318
ENSG00000110060	335	481	393	473	333	260
ENSG00000110063	767	732	1051	722	549	338
ENSG00000110066	1409	1944	1296	1319	1504	1415
ENSG00000110074	740	514	1059	504	433	334
ENSG00000110075	3268	3779	2870	2291	2221	2001
ENSG00000110076	20	31	0	0	0	7
ENSG00000110077	0	0	0	0	0	0
ENSG00000110079	0	0	1	0	0	0
ENSG00000110080	1055	1428	1197	1206	1159	678
ENSG00000110090	509	1732	489	988	1072	883
ENSG00000110092	7043	30363	6841	24939	11251	12736
ENSG00000110104	1775	1704	1851	1645	1393	731
ENSG00000110107	3674	3218	4696	4469	3391	1943
ENSG00000110108	2035	1941	2271	1906	1946	730
ENSG00000110148	0	0	0	0	0	0
ENSG00000110169	12	6	9	6	6	20
ENSG00000110171	677	511	783	474	440	476
ENSG00000110172	1118	1485	1016	807	744	755
ENSG00000110195	19	77	5	83	12	35
ENSG00000110200	303	398	364	314	270	154
ENSG00000110203	591	1395	542	1010	1125	4231
ENSG00000110218	2748	3649	2448	2127	2364	2257
ENSG00000110237	310	1348	374	1370	582	774
ENSG00000110243	0	0	0	0	0	0
ENSG00000110244	0	0	0	0	0	0
ENSG00000110245	0	0	0	0	0	0
ENSG00000110274	1367	1214	1592	1308	1191	809
ENSG00000110315	3261	3733	3362	3523	4042	2433
ENSG00000110318	115	152	100	67	86	197
ENSG00000110321	33701	42466	30542	28959	32406	16749
ENSG00000110324	4	7	3	6	2	6
ENSG00000110328	1152	2109	1031	1819	853	1034
ENSG00000110330	2000	3145	1937	1644	1629	1500
ENSG00000110344	1711	1775	1521	1318	1430	1181
ENSG00000110367	7659	10929	7557	7496	6975	5088
ENSG00000110375	17	76	9	16	13	32
ENSG00000110395	4296	3415	3804	2734	2869	3434
ENSG00000110400	14371	8826	12262	9476	11704	7702
ENSG00000110422	3930	5960	3557	4102	4504	4416
ENSG00000110427	820	1175	506	368	487	267
ENSG00000110429	1966	2495	1982	1699	1816	1499
ENSG00000110435	1287	1538	1387	1260	1191	1139
ENSG00000110436	0	3	1	2	5	66
ENSG00000110442	689	1205	766	977	798	421
ENSG00000110446	5	26	20	5	2	10
ENSG00000110448	7	8	3	5	5	13
ENSG00000110455	116	159	270	285	133	498
ENSG00000110484	0	0	0	0	0	2
ENSG00000110492	313	379	467	213	497	218
ENSG00000110497	1272	1305	1337	1116	1165	1036
ENSG00000110514	1688	1495	2023	1313	1362	1069
ENSG00000110536	269	232	292	284	274	169
ENSG00000110583	901	910	1020	647	515	276
ENSG00000110619	2012	2559	1558	1668	2638	1370
ENSG00000110628	265	320	276	325	510	631
ENSG00000110651	10110	11646	9761	12195	10098	6693
ENSG00000110660	2475	2089	2599	2221	2414	1375
ENSG00000110665	0	0	0	0	0	0
ENSG00000110675	31	9	69	30	32	35
ENSG00000110680	0	0	0	0	0	0
ENSG00000110693	193	1080	132	275	525	305
ENSG00000110696	5750	7299	5926	4759	4860	4056
ENSG00000110697	3832	3588	3815	3377	3450	2727
ENSG00000110700	11299	9671	12833	15223	14510	6728
ENSG00000110711	1411	820	1612	1142	1090	874
ENSG00000110713	4093	4289	4359	3832	3576	2808
ENSG00000110717	1806	1763	2191	2229	2267	1292
ENSG00000110719	1251	1094	1231	876	896	1179
ENSG00000110721	150	282	201	268	179	139
ENSG00000110723	1644	1750	1084	1209	1604	2723
ENSG00000110756	2047	2742	2025	2985	1302	1546
ENSG00000110768	1627	2024	1677	1517	1979	1310
ENSG00000110777	6	38	7	19	13	25
ENSG00000110786	5	1	0	0	1	0
ENSG00000110799	5	15	2	7	9	27
ENSG00000110801	401	485	442	406	390	260
ENSG00000110811	236	263	155	64	58	357
ENSG00000110841	4426	5704	4885	4399	4601	2209
ENSG00000110844	376	222	389	212	265	336
ENSG00000110848	0	0	0	0	0	0
ENSG00000110851	1964	2317	1919	1887	2109	2253
ENSG00000110852	327	232	353	40	391	33
ENSG00000110871	853	890	1044	856	1000	714
ENSG00000110876	73	297	47	164	131	51
ENSG00000110880	12495	14754	11476	12074	12169	8752
ENSG00000110881	282	221	232	289	159	251
ENSG00000110887	0	0	0	0	0	0
ENSG00000110888	660	333	756	226	702	707
ENSG00000110900	9	4	2	12	0	5
ENSG00000110906	3901	7138	4228	4629	3471	2759
ENSG00000110911	847	1455	1044	1369	860	1308
ENSG00000110917	6127	7211	6238	6075	5424	3098
ENSG00000110921	1702	1487	2274	2290	1738	954
ENSG00000110925	1260	2179	1126	1431	1550	1617
ENSG00000110931	2373	3091	2488	2886	2369	1563
ENSG00000110934	2	4	1	0	5	3
ENSG00000110944	23	24	21	20	19	11
ENSG00000110955	25648	27295	27500	28379	27555	18169
ENSG00000110958	8372	9221	9374	6912	7074	3618
ENSG00000110975	0	0	0	0	0	1
ENSG00000110987	2625	1406	2810	1718	1997	1218
ENSG00000111011	2467	2639	2473	1707	2093	2245
ENSG00000111012	1888	264	1467	408	516	430
ENSG00000111046	0	0	0	0	0	0
ENSG00000111049	0	0	0	0	0	0
ENSG00000111052	3	10	0	1	2	0
ENSG00000111057	1524	1562	2463	1814	1763	753
ENSG00000111058	11	17	2	27	35	54
ENSG00000111077	178	250	46	35	92	62
ENSG00000111087	10	8	1	7	2	4
ENSG00000111110	6	103	8	30	9	50
ENSG00000111142	3604	4368	3465	2683	3336	2205
ENSG00000111144	4780	4569	4739	3951	3988	3462
ENSG00000111145	8425	3558	6344	3271	3771	2998
ENSG00000111181	0	2	0	0	7	6
ENSG00000111186	817	2273	201	744	335	715
ENSG00000111196	407	378	457	246	266	153
ENSG00000111199	105	149	84	53	90	61
ENSG00000111203	386	351	471	499	390	161
ENSG00000111206	2212	358	2877	134	652	60
ENSG00000111215	14	5	3	2	4	15
ENSG00000111218	207	216	104	446	317	632
ENSG00000111224	231	326	224	213	197	237
ENSG00000111229	3993	5713	3802	3780	4508	2830
ENSG00000111231	1155	770	1172	648	768	414
ENSG00000111237	2229	2499	2648	2013	1921	1147
ENSG00000111241	0	0	0	0	0	0
ENSG00000111245	5	19	2	12	1	0
ENSG00000111247	470	109	509	69	142	22
ENSG00000111249	1	1	0	0	0	13
ENSG00000111252	1287	1128	765	500	525	581
ENSG00000111254	26	55	81	115	94	66
ENSG00000111261	374	472	354	392	654	307
ENSG00000111262	0	0	0	0	0	0
ENSG00000111266	1085	1618	1200	1442	1128	1476
ENSG00000111269	1371	1403	1580	1222	1423	663
ENSG00000111271	436	336	398	371	370	399
ENSG00000111275	743	818	543	920	452	772
ENSG00000111276	777	724	867	530	797	589
ENSG00000111291	20	20	22	45	16	17
ENSG00000111300	1563	1753	1298	1089	1183	1637
ENSG00000111305	2	2	3	2	2	0
ENSG00000111319	234	1706	972	3371	862	503
ENSG00000111321	5629	4978	7030	8120	7655	2879
ENSG00000111325	11	4	13	18	9	8
ENSG00000111328	3715	5078	3717	4119	3194	1826
ENSG00000111331	2089	633	4628	709	774	685
ENSG00000111335	420	307	1157	55	224	57
ENSG00000111339	0	0	0	0	0	0
ENSG00000111341	0	37	0	5	2	14
ENSG00000111344	35	290	90	161	62	41
ENSG00000111348	2542	3186	3819	2758	3935	1481
ENSG00000111358	1593	1604	1762	1298	1486	758
ENSG00000111361	2052	2340	2371	2313	1906	1240
ENSG00000111364	890	745	780	555	696	442
ENSG00000111371	11809	13502	9593	10354	12254	8014
ENSG00000111404	0	3	1	1	0	0
ENSG00000111405	4	8	18	3	5	3
ENSG00000111412	2728	4506	2676	3688	2741	1773
ENSG00000111424	4608	5362	4678	5051	3920	2878
ENSG00000111432	118	40	157	91	181	103
ENSG00000111445	850	353	1113	298	367	135
ENSG00000111450	641	815	709	533	412	536
ENSG00000111452	5	3	0	0	0	1
ENSG00000111481	5081	6567	5296	6178	5723	3739
ENSG00000111490	125	111	53	39	62	48
ENSG00000111530	4996	5236	4693	3020	3417	3555
ENSG00000111536	0	0	0	0	0	1
ENSG00000111537	0	0	0	0	0	0
ENSG00000111540	8447	13763	8911	12879	10237	7504
ENSG00000111554	251	206	201	130	110	113
ENSG00000111581	1644	1393	1633	731	743	514
ENSG00000111596	1995	2065	1923	1506	2151	1694
ENSG00000111602	2069	561	2819	533	748	381
ENSG00000111605	2340	2626	2343	2085	2063	1180
ENSG00000111615	1339	1476	1339	719	1103	882
ENSG00000111639	3352	3666	4239	4024	3493	2193
ENSG00000111640	72542	121014	74579	122154	80166	71668
ENSG00000111641	2848	2615	3307	2629	2329	1697
ENSG00000111642	8114	10171	8394	8858	7520	7018
ENSG00000111644	4	9	6	5	1	16
ENSG00000111647	728	798	526	505	589	701
ENSG00000111652	3179	3433	3424	3382	3594	1907
ENSG00000111653	618	883	702	1058	769	603
ENSG00000111664	1	16	8	3	2	11
ENSG00000111665	630	105	810	46	184	11
ENSG00000111666	170	273	396	445	95	117
ENSG00000111667	5834	8806	6838	7934	6485	4808
ENSG00000111669	12583	16970	15204	16147	10369	8763
ENSG00000111670	2655	5245	2674	3272	2476	2352
ENSG00000111671	301	329	398	370	322	186
ENSG00000111674	136	204	84	113	33	64
ENSG00000111676	5419	5115	5540	4596	4881	3810
ENSG00000111678	151	135	158	253	146	133
ENSG00000111679	1270	958	1552	861	1155	868
ENSG00000111684	1327	1456	1231	1053	988	867
ENSG00000111696	2836	3457	2769	2119	2168	2941
ENSG00000111700	1	1	1	0	0	0
ENSG00000111701	0	0	0	0	0	0
ENSG00000111704	0	0	0	0	0	0
ENSG00000111707	2754	2410	2740	2026	2165	2345
ENSG00000111711	1210	1857	951	907	846	1187
ENSG00000111713	0	0	3	0	0	3
ENSG00000111716	16926	10242	18420	11455	11908	7404
ENSG00000111725	742	951	1161	1327	987	633
ENSG00000111726	2999	4108	3120	2875	2860	2455
ENSG00000111727	458	560	428	255	439	400
ENSG00000111728	5	26	3	27	15	52
ENSG00000111729	3	0	1	8	5	4
ENSG00000111731	778	598	676	362	501	322
ENSG00000111732	4	1	2	3	1	6
ENSG00000111737	3867	4654	4174	3885	3522	2074
ENSG00000111752	141	70	142	62	75	64
ENSG00000111775	686	752	803	737	800	500
ENSG00000111780	0	0	0	0	0	0
ENSG00000111783	0	0	0	0	0	0
ENSG00000111785	323	395	390	323	195	250
ENSG00000111786	4487	4353	4871	4019	4040	2341
ENSG00000111788	71	18	98	21	19	28
ENSG00000111790	1003	1009	851	544	768	701
ENSG00000111796	0	0	2	0	1	0
ENSG00000111799	4164	8335	2949	3922	4050	2694
ENSG00000111801	81	253	105	187	123	68
ENSG00000111802	1322	1670	1400	1221	1519	1319
ENSG00000111816	458	1272	451	547	514	439
ENSG00000111817	7869	6368	6481	4163	5160	5438
ENSG00000111832	1585	1637	1573	1396	1503	1144
ENSG00000111834	8	22	4	13	6	8
ENSG00000111837	18	2	8	1	5	12
ENSG00000111843	2912	3192	3444	3340	2977	2545
ENSG00000111845	867	873	867	678	625	420
ENSG00000111846	205	723	173	144	535	526
ENSG00000111850	129	130	78	70	63	57
ENSG00000111859	155	603	258	570	132	254
ENSG00000111860	166	246	145	77	73	267
ENSG00000111863	666	453	538	398	591	788
ENSG00000111875	321	538	390	376	296	238
ENSG00000111877	526	399	496	299	319	262
ENSG00000111879	23	7	9	2	11	20
ENSG00000111880	1098	1131	978	687	806	654
ENSG00000111885	945	1238	556	479	392	876
ENSG00000111886	5	9	2	4	0	11
ENSG00000111897	5066	8260	3980	4097	4934	4874
ENSG00000111906	1728	1163	1914	1384	1759	995
ENSG00000111907	1285	3337	1226	2109	2262	1743
ENSG00000111911	1081	1451	1065	943	1307	1269
ENSG00000111912	931	936	781	472	1186	537
ENSG00000111913	5	29	4	3	7	11
ENSG00000111961	1173	1665	1070	1169	1436	1569
ENSG00000111962	389	527	230	479	444	811
ENSG00000111971	0	0	0	0	0	0
ENSG00000111981	114	303	67	209	452	229
ENSG00000112029	404	134	490	59	117	41
ENSG00000112031	394	459	336	306	285	269
ENSG00000112033	6217	5006	4906	5226	2895	2311
ENSG00000112038	0	0	0	0	0	0
ENSG00000112039	670	96	701	214	487	321
ENSG00000112041	1	4	0	4	0	5
ENSG00000112053	6	10	0	5	1	0
ENSG00000112062	2434	3446	2753	3270	2462	1970
ENSG00000112077	0	0	0	0	2	0
ENSG00000112078	1942	2569	2379	1978	2143	1348
ENSG00000112079	1531	3559	1826	2269	1749	1589
ENSG00000112081	8540	7298	11070	5312	6313	3214
ENSG00000112096	2973	6363	2738	3653	2651	3520
ENSG00000112110	2425	2237	2416	2005	1732	1329
ENSG00000112115	0	0	0	0	0	0
ENSG00000112116	0	0	0	0	0	0
ENSG00000112118	2365	1422	3129	1547	1197	334
ENSG00000112130	1158	1435	1311	1343	922	669
ENSG00000112137	63	99	29	5	51	58
ENSG00000112139	163	130	10	12	44	47
ENSG00000112144	422	830	360	457	380	265
ENSG00000112146	1118	1328	1236	980	867	694
ENSG00000112149	115	102	99	72	58	95
ENSG00000112159	2372	1881	2061	1412	1571	1507
ENSG00000112164	0	0	0	0	0	0
ENSG00000112167	542	625	527	668	419	303
ENSG00000112175	0	0	0	0	0	1
ENSG00000112182	71	195	78	236	235	213
ENSG00000112183	7	339	7	268	55	421
ENSG00000112186	239	562	202	461	355	342
ENSG00000112195	0	0	0	4	5	1
ENSG00000112200	1582	1615	1378	1009	1113	1242
ENSG00000112208	146	290	134	243	113	90
ENSG00000112210	434	552	488	335	377	518
ENSG00000112212	2	1	2	3	0	7
ENSG00000112214	0	0	0	0	0	0
ENSG00000112218	34	35	30	5	19	10
ENSG00000112232	0	0	0	0	0	0
ENSG00000112234	990	1131	899	803	747	886
ENSG00000112237	2187	2511	2163	1422	1961	1381
ENSG00000112238	0	0	2	0	3	0
ENSG00000112242	782	1397	703	965	724	1116
ENSG00000112245	14282	13957	12307	10208	13120	7416
ENSG00000112246	2	4	0	0	0	2
ENSG00000112249	4830	6104	4079	3188	3556	3558
ENSG00000112273	0	0	0	0	0	0
ENSG00000112276	173	207	68	35	58	531
ENSG00000112280	1	0	0	0	1	1
ENSG00000112282	996	1326	894	767	892	885
ENSG00000112290	1123	1138	1124	1013	1052	1070
ENSG00000112293	1	6	4	13	6	2
ENSG00000112294	46	154	52	163	82	39
ENSG00000112297	9591	7874	8415	5967	7978	7299
ENSG00000112299	19	55	21	8	37	23
ENSG00000112303	0	0	0	4	0	0
ENSG00000112304	979	1033	1000	930	784	987
ENSG00000112305	391	552	411	399	440	400
ENSG00000112306	20974	19340	23525	32034	26660	10424
ENSG00000112308	6434	6497	6680	4732	6536	5785
ENSG00000112309	3	7	5	1	0	19
ENSG00000112312	843	263	1218	240	283	146
ENSG00000112319	7	19	2	7	1	2
ENSG00000112320	7	4	0	0	0	1
ENSG00000112333	2	2	0	0	0	0
ENSG00000112335	7712	12442	6975	8160	8099	6415
ENSG00000112337	0	3	0	0	0	0
ENSG00000112339	2405	3108	2080	1599	1874	1979
ENSG00000112343	1088	1192	1214	801	976	905
ENSG00000112357	347	463	412	422	429	344
ENSG00000112365	503	498	474	382	367	328
ENSG00000112367	735	815	708	609	707	648
ENSG00000112378	59725	108557	62320	89502	99148	123304
ENSG00000112379	69	412	66	111	67	265
ENSG00000112394	1	0	0	1	3	0
ENSG00000112406	2101	2309	1970	1425	2199	2002
ENSG00000112414	1512	1085	1380	553	1333	452
ENSG00000112419	1877	1764	1407	1183	1219	1977
ENSG00000112425	143	214	176	196	168	190
ENSG00000112459	0	0	0	0	0	0
ENSG00000112461	0	0	0	0	0	0
ENSG00000112462	0	0	0	0	0	0
ENSG00000112473	3581	4701	3142	4178	2657	3214
ENSG00000112474	0	0	0	0	0	0
ENSG00000112486	0	0	0	0	0	0
ENSG00000112493	0	0	0	0	0	0
ENSG00000112494	0	0	2	5	1	3
ENSG00000112499	1	7	6	5	1	0
ENSG00000112511	1210	1046	1217	1043	1134	1454
ENSG00000112514	2914	3279	3675	4902	3644	2402
ENSG00000112530	7	20	2	16	8	6
ENSG00000112531	3308	4008	3159	2897	3293	3210
ENSG00000112539	0	0	0	0	0	0
ENSG00000112541	2	3	0	0	0	2
ENSG00000112559	4062	3110	4481	3169	3439	2032
ENSG00000112561	287	399	329	633	485	446
ENSG00000112562	15	21	30	8	79	19
ENSG00000112576	2662	2685	3309	2457	2143	1208
ENSG00000112578	1658	1643	1778	1780	1481	1049
ENSG00000112584	1405	2608	1375	1842	1391	1180
ENSG00000112592	582	566	786	525	525	451
ENSG00000112599	66	73	69	68	33	153
ENSG00000112619	5	3	3	12	4	0
ENSG00000112624	617	544	562	441	555	493
ENSG00000112640	3585	3590	4003	3824	2890	1860
ENSG00000112651	1163	835	1500	1124	1013	734
ENSG00000112655	4491	3593	4535	4067	2818	4719
ENSG00000112658	3587	3560	3518	3199	3788	2252
ENSG00000112659	3551	1617	4721	1689	2937	4225
ENSG00000112667	1972	1861	2163	2471	2175	1052
ENSG00000112679	1474	1436	1312	1471	1309	691
ENSG00000112685	2236	2532	1994	1968	2288	1384
ENSG00000112695	3785	3684	4113	3762	4206	2214
ENSG00000112697	4538	6829	3639	3434	3507	4362
ENSG00000112699	582	674	578	535	525	371
ENSG00000112701	1957	2089	1789	1122	1602	1597
ENSG00000112706	3	4	12	6	10	18
ENSG00000112715	4072	2035	2313	1418	3207	5184
ENSG00000112739	2193	2287	1811	1265	1538	1484
ENSG00000112742	781	212	849	86	255	11
ENSG00000112759	1809	1094	1005	681	585	752
ENSG00000112761	16	97	257	1348	59	1
ENSG00000112763	824	773	637	463	712	417
ENSG00000112769	845	605	15	5	28	8
ENSG00000112773	145	235	131	130	153	152
ENSG00000112782	24	20	48	16	21	11
ENSG00000112787	2881	3189	2951	3336	3124	1876
ENSG00000112796	7	80	6	75	1	148
ENSG00000112799	0	0	0	0	0	0
ENSG00000112812	243	259	257	353	308	157
ENSG00000112818	4	18	6	1	5	9
ENSG00000112837	183	132	12	1	5	19
ENSG00000112851	2897	4527	2774	2710	3329	3355
ENSG00000112852	5	22	1	34	3	14
ENSG00000112855	1163	1440	1286	1270	1052	783
ENSG00000112874	781	747	806	550	652	348
ENSG00000112877	426	165	664	271	267	116
ENSG00000112893	3082	4364	2276	2288	2896	3518
ENSG00000112902	78	286	16	113	73	118
ENSG00000112936	0	0	1	0	0	1
ENSG00000112941	976	1025	996	803	830	951
ENSG00000112964	53	85	32	54	76	57
ENSG00000112972	8435	4851	10633	5121	6569	4265
ENSG00000112977	2561	2671	2882	2769	2291	1330
ENSG00000112981	3	25	4	29	7	53
ENSG00000112983	1343	1407	1440	1245	1223	776
ENSG00000112984	1327	234	1509	70	420	18
ENSG00000112992	1001	1280	1091	1295	994	1003
ENSG00000112996	1533	1156	1579	1325	1318	837
ENSG00000113013	9847	9594	9427	7769	9246	6196
ENSG00000113048	2982	1946	3392	2555	2548	936
ENSG00000113068	2125	2687	2239	2174	2441	1386
ENSG00000113070	3278	1914	2139	880	2366	1744
ENSG00000113073	5	2	7	1	6	4
ENSG00000113083	608	1015	28	123	48	46
ENSG00000113088	0	0	0	0	0	0
ENSG00000113100	0	0	2	0	0	0
ENSG00000113108	72	94	111	54	85	97
ENSG00000113119	284	174	436	156	184	108
ENSG00000113140	10980	13566	2519	1262	1139	2205
ENSG00000113141	2689	2366	2955	2208	2194	1731
ENSG00000113161	7517	5025	7661	5257	7259	3609
ENSG00000113163	2635	3442	2232	2015	2757	2025
ENSG00000113194	3671	4166	3108	3379	3183	2878
ENSG00000113196	0	3	1	0	0	0
ENSG00000113205	1	4	1	19	5	2
ENSG00000113209	5	18	5	35	15	37
ENSG00000113211	1	28	0	1	0	2
ENSG00000113212	4	6	1	4	1	0
ENSG00000113231	64	119	103	104	142	76
ENSG00000113240	244	497	201	239	216	377
ENSG00000113248	6	8	7	12	9	6
ENSG00000113249	0	0	0	0	0	0
ENSG00000113262	2	4	0	2	0	1
ENSG00000113263	0	0	0	0	0	0
ENSG00000113269	503	605	600	615	423	247
ENSG00000113272	655	576	784	689	905	301
ENSG00000113273	453	622	470	414	262	148
ENSG00000113282	3923	5648	3784	3623	4423	4076
ENSG00000113296	19	16	17	11	38	79
ENSG00000113300	3250	3196	3233	2219	2484	1644
ENSG00000113302	0	2	0	0	0	0
ENSG00000113303	0	0	0	0	0	0
ENSG00000113312	1861	3185	2187	3027	2246	1564
ENSG00000113318	854	758	699	533	662	564
ENSG00000113319	36	37	12	19	10	14
ENSG00000113327	0	0	0	0	0	0
ENSG00000113328	2419	2450	2637	2028	2510	1425
ENSG00000113356	1036	1137	870	632	685	445
ENSG00000113360	2648	2611	2663	1910	1774	1252
ENSG00000113361	0	0	2	0	1	0
ENSG00000113368	1221	345	1813	73	329	27
ENSG00000113369	665	1172	707	480	1026	434
ENSG00000113384	2945	3780	3039	2968	2792	2200
ENSG00000113387	4183	4076	3737	2831	2925	2087
ENSG00000113389	35	35	6	35	19	29
ENSG00000113391	442	1049	382	642	576	361
ENSG00000113396	426	168	276	72	24	54
ENSG00000113407	6927	8004	6020	5038	7136	3400
ENSG00000113430	1317	1738	1806	2365	2185	1631
ENSG00000113441	3442	4009	2562	2213	2637	2744
ENSG00000113448	203	333	176	315	236	139
ENSG00000113456	731	657	844	586	557	456
ENSG00000113460	1079	748	1058	625	707	508
ENSG00000113492	0	0	0	0	0	0
ENSG00000113494	2	24	0	0	1	18
ENSG00000113504	459	597	308	36	719	845
ENSG00000113520	1	2	0	0	0	1
ENSG00000113522	3031	3577	2606	2361	2878	2699
ENSG00000113525	0	0	0	1	0	0
ENSG00000113532	7	6	1	0	5	3
ENSG00000113552	1365	2388	1621	2340	2120	2421
ENSG00000113555	10	24	23	16	18	29
ENSG00000113558	3070	4890	2984	3400	3330	2585
ENSG00000113569	2038	1322	2195	1032	1366	1162
ENSG00000113575	3772	4910	4108	3734	3664	2870
ENSG00000113578	43	142	14	60	32	62
ENSG00000113580	3561	3623	3570	2840	3084	2155
ENSG00000113583	1604	2529	1394	1582	1171	1377
ENSG00000113593	621	723	571	258	479	485
ENSG00000113594	95	355	70	225	96	126
ENSG00000113595	415	754	409	459	369	575
ENSG00000113597	403	569	441	389	466	389
ENSG00000113600	6	10	1	0	1	11
ENSG00000113615	1067	1609	848	967	916	1058
ENSG00000113621	634	1041	750	833	635	542
ENSG00000113638	356	357	364	261	269	346
ENSG00000113643	4901	5995	5012	4572	4791	3126
ENSG00000113645	2776	4632	2745	3744	2868	2382
ENSG00000113648	9565	7919	10165	7215	8139	5581
ENSG00000113649	3450	2826	3253	2179	2233	2323
ENSG00000113657	279	246	186	14	124	39
ENSG00000113658	3757	3563	3208	1960	2179	2388
ENSG00000113712	10161	11056	8371	7459	10124	9406
ENSG00000113716	2758	2737	2683	2590	2359	2373
ENSG00000113719	6630	6476	6937	7854	7247	5175
